Lookup ID,Isotope,,A1 (TBq),,A2 (TBq),,activity concentration limit for exempt matertial (Bq/g),,activity limit for an exempt consignment (Bq),
,Tm-167,,7.00E+00,,8.00E-01,,1.00E+02,,1.00E+06,
,Tm-170,,3.00E+00,,6.00E-01,,1.00E+03,,1.00E+06,
,Tm-171,,4.00E+01,,4.00E+01,,1.00E+04,,1.00E+08,
,U-230,(fast lung absorption)(a)(d),4.00E+01,,1.00E-01,,1.00E+01,(b),1.00E+05,(b)
,U-230,(medium lung absorption)(a)(e),4.00E+01,,4.00E-03,,1.00E+01,,1.00E+04,
,U-230,(slow lung absorption)(a)(f),3.00E+01,,3.00E-03,,1.00E+01,,1.00E+04,
,U-232,(fast lung absorption)(d),4.00E+01,,1.00E-02,,1.00E+00,(b),1.00E+03,(b)
,U-232,(medium lung absorption)(e),4.00E+01,,7.00E-03,,1.00E+01,,1.00E+04,
,U-232,(slow lung absorption)(f),1.00E+01,,1.00E-03,,1.00E+01,,1.00E+04,
,U-233,(fast lung absorption)(d),4.00E+01,,9.00E-02,,1.00E+01,,1.00E+04,
,U-233,(medium lung absorption)(e),4.00E+01,,2.00E-02,,1.00E+02,,1.00E+05,
,U-233,(slow lung absorption)(f),4.00E+01,,6.00E-03,,1.00E+01,,1.00E+05,
,U-234,(fast lung absorption)(d),4.00E+01,,9.00E-02,,1.00E+01,,1.00E+04,
,U-234,(medium lung absorption)(e),4.00E+01,,2.00E-02,,1.00E+02,,1.00E+05,
,U-234,(slow lung absorption)(f),4.00E+01,,6.00E-03,,1.00E+01,,1.00E+05,
,U-235,(all lung absorption types)(a)(d)(e)(f),Unlimited,,Unlimited,,1.00E+01,(b),1.00E+04,(b)
,U-236,(fast lung absorption)(d),Unlimited,,Unlimited,,1.00E+01,,1.00E+04,
,U-236,(medium lung absorption)(e),4.00E+01,,2.00E-02,,1.00E+02,,1.00E+05,
,U-236,(slow lung absorption)(f),4.00E+01,,6.00E-03,,1.00E+01,,1.00E+04,
,U-238,(all lung absorption types)(d)(e)(f),Unlimited,,Unlimited,,1.00E+01,(b),1.00E+04,(b)
,U,(natural),Unlimited,,Unlimited,,1.00E+00,(b),1.00E+03,(b)
,U,(enriched to 20% or less)(g),Unlimited,,Unlimited,,1.00E+00,,1.00E+03,
,U,(depleted),Unlimited,,Unlimited,,1.00E+00,,1.00E+03,
,V-48,,4.00E-01,,4.00E-01,,1.00E+01,,1.00E+05,
,V-49,,4.00E+01,,4.00E+01,,1.00E+04,,1.00E+07,
,W-178,(a),9.00E+00,,5.00E+00,,1.00E+01,,1.00E+06,
,W-181,,3.00E+01,,3.00E+01,,1.00E+03,,1.00E+07,
,W-185,,4.00E+01,,8.00E-01,,1.00E+04,,1.00E+07,
,W-187,,2.00E+00,,6.00E-01,,1.00E+02,,1.00E+06,
,W-188,(a),4.00E-01,,3.00E-01,,1.00E+02,,1.00E+05,
,Xe-122,(a),4.00E-01,,4.00E-01,,1.00E+02,,1.00E+09,
,Xe-123,,2.00E+00,,7.00E-01,,1.00E+02,,1.00E+09,
,Xe-127,,4.00E+00,,2.00E+00,,1.00E+03,,1.00E+05,
,Xe-131m,,4.00E+01,,4.00E+01,,1.00E+04,,1.00E+04,
,Xe-133,,2.00E+01,,1.00E+01,,1.00E+03,,1.00E+04,
,Xe-135,,3.00E+00,,2.00E+00,,1.00E+03,,1.00E+10,
,Y-87,(a),1.00E+00,,1.00E+00,,1.00E+01,,1.00E+06,
,Y-88,,4.00E-01,,4.00E-01,,1.00E+01,,1.00E+06,
,Y-90,,3.00E-01,,3.00E-01,,1.00E+03,,1.00E+05,
,Y-91,,6.00E-01,,6.00E-01,,1.00E+03,,1.00E+06,
,Y-91m,,2.00E+00,,2.00E+00,,1.00E+02,,1.00E+06,
,Y-92,,2.00E-01,,2.00E-01,,1.00E+02,,1.00E+05,
,Y-93,,3.00E-01,,3.00E-01,,1.00E+02,,1.00E+05,
,Yb-169,,4.00E+00,,1.00E+00,,1.00E+02,,1.00E+07,
,Yb-175,,3.00E+01,,9.00E-01,,1.00E+03,,1.00E+07,
,Zn-65,,2.00E+00,,2.00E+00,,1.00E+01,,1.00E+06,
,Zn-69,,3.00E+00,,6.00E-01,,1.00E+04,,1.00E+06,
,Zn-69m,(a),3.00E+00,,6.00E-01,,1.00E+02,,1.00E+06,
,Zr-88,,3.00E+00,,3.00E+00,,1.00E+02,,1.00E+06,
,Zr-93,,Unlimited,,Unlimited,,1.00E+03,(b),1.00E+07,(b)
,Zr-95,(a),2.00E+00,,8.00E-01,,1.00E+01,,1.00E+06,
,Zr-97,(a),4.00E-01,,4.00E-01,,1.00E+01,(b),1.00E+05,(b)
