Lookup ID,Isotope,,A1 (TBq),,A2 (TBq),,activity concentration limit for exempt matertial (Bq/g),,activity limit for an exempt consignment (Bq),
,Co-57,,1.00E+01,,1.00E+01,,1.00E+02,,1.00E+06,
,Co-58,,1.00E+00,,1.00E+00,,1.00E+01,,1.00E+06,
,Co-58m,,4.00E+01,,4.00E+01,,1.00E+04,,1.00E+07,
,Co-60,,4.00E-01,,4.00E-01,,1.00E+01,,1.00E+05,
,Cr-51,,3.00E+01,,3.00E+01,,1.00E+03,,1.00E+07,
,Cs-129,,4.00E+00,,4.00E+00,,1.00E+02,,1.00E+05,
,Cs-131,,3.00E+01,,1.00E+03,,1.00E+03,,1.00E+06,
,Cs-132,,1.00E+00,,1.00E+00,,1.00E+01,,1.00E+05,
,Cs-134,,7.00E-01,,7.00E-01,,1.00E+01,,1.00E+04,
,Cs-134m,,4.00E+01,,6.00E-01,,1.00E+03,,1.00E+05,
,Cs-135,,4.00E+01,,1.00E+00,,1.00E+04,,1.00E+07,
,Cs-136,,5.00E-01,,5.00E-01,,1.00E+01,,1.00E+05,
,Cs-137,(a),2.00E+00,,6.00E-01,,1.00E+01,(b),1.00E+04,(b)
,Cu-64,,6.00E+00,,1.00E+00,,1.00E+02,,1.00E+06,
,Cu-67,,1.00E+01,,7.00E-01,,1.00E+02,,1.00E+06,
,Dy-159,,2.00E+01,,2.00E+01,,1.00E+03,,1.00E+07,
,Dy-165,,9.00E-01,,6.00E-01,,1.00E+03,,1.00E+06,
,Dy-166,(a),9.00E-01,,3.00E-01,,1.00E+03,,1.00E+06,
,Er-169,,4.00E+01,,1.00E+00,,1.00E+04,,1.00E+07,
,Er-171,,8.00E-01,,5.00E-01,,1.00E+02,,1.00E+06,
,Eu-147,,2.00E+00,,2.00E+00,,1.00E+02,,1.00E+06,
,Eu-148,,5.00E-01,,5.00E-01,,1.00E+01,,1.00E+06,
,Eu-149,,2.00E+01,,2.00E+01,,1.00E+02,,1.00E+07,
,Eu-150,(short lived),2.00E+00,,7.00E-01,,1.00E+03,,1.00E+06,
,Eu-150,(long lived),7.00E-01,,7.00E-01,,1.00E+01,,1.00E+06,
,Eu-152,,1.00E+00,,1.00E+00,,1.00E+01,,1.00E+06,
,Eu-152m,,8.00E-01,,8.00E-01,,1.00E+02,,1.00E+06,
,Eu-154,,9.00E-01,,6.00E-01,,1.00E+01,,1.00E+06,
,Eu-155,,2.00E+01,,3.00E+00,,1.00E+02,,1.00E+07,
,Eu-156,,7.00E-01,,7.00E-01,,1.00E+01,,1.00E+06,
,F-18,,1.00E+00,,6.00E-01,,1.00E+01,,1.00E+06,
,Fe-52,(a),3.00E-01,,3.00E-01,,1.00E+01,,1.00E+06,
,Fe-55,,4.00E+01,,4.00E+01,,1.00E+04,,1.00E+06,
,Fe-59,,9.00E-01,,9.00E-01,,1.00E+01,,1.00E+06,
,Fe-60,(a),4.00E+01,,2.00E-01,,1.00E+02,,1.00E+05,
,Ga-67,,7.00E+00,,3.00E+00,,1.00E+02,,1.00E+06,
,Ga-68,,5.00E-01,,5.00E-01,,1.00E+01,,1.00E+05,
,Ga-72,,4.00E-01,,4.00E-01,,1.00E+01,,1.00E+05,
,Gd-146,(a),5.00E-01,,5.00E-01,,1.00E+01,,1.00E+06,
,Gd-148,,2.00E+01,,2.00E-03,,1.00E+01,,1.00E+04,
,Gd-153,,1.00E+01,,9.00E+00,,1.00E+02,,1.00E+07,
,Gd-159,,3.00E+00,,6.00E-01,,1.00E+03,,1.00E+06,
,Ge-68,(a),5.00E-01,,5.00E-01,,1.00E+01,,1.00E+05,
,Ge-69,,1.00E+00,,1.00E+00,,1.00E+01,,1.00E+06,
,Gr-71,,4.00E+01,,4.00E+01,,1.00E+04,,1.00E+08,
,Ge-77,,3.00E-01,,3.00E-01,,1.00E+01,,1.00E+05,
,Hf-172,(a),6.00E-01,,6.00E-01,,1.00E+01,,1.00E+06,
,Hf-175,,3.00E+00,,3.00E+00,,1.00E+02,,1.00E+06,
,Hf-181,,2.00E+00,,5.00E-01,,1.00E+01,,1.00E+06,
,Hf-182,,Unlimited,,Unlimited,,1.00E+02,,1.00E+06,
,Hg-194,(a),1.00E+00,,1.00E+00,,1.00E+01,,1.00E+06,
,Hg-195m,(a),3.00E+00,,7.00E-01,,1.00E+02,,1.00E+06,
,Hg-197,,2.00E+01,,1.00E+01,,1.00E+02,,1.00E+07,
,Hg-197m,,1.00E+01,,4.00E-01,,1.00E+02,,1.00E+06,
,Hg-203,,5.00E+00,,1.00E+00,,1.00E+02,,1.00E+05,
,Ho-166,,4.00E-01,,4.00E-01,,1.00E+03,,1.00E+05,
,Ho-166m,,6.00E-01,,5.00E-01,,1.00E+01,,1.00E+06,
,I-123,,6.00E+00,,3.00E+00,,1.00E+02,,1.00E+07,
,I-124,,1.00E+00,,1.00E+00,,1.00E+01,,1.00E+06,
,I-125,,2.00E+01,,3.00E+00,,1.00E+03,,1.00E+06,
,I-126,,2.00E+00,,1.00E+00,,1.00E+02,,1.00E+06,
,I-129,,Unlimited,,Unlimited,,1.00E+02,,1.00E+05,
,I-131,,3.00E+00,,7.00E-01,,1.00E+02,,1.00E+06,
,I-132,,4.00E-01,,4.00E-01,,1.00E+01,,1.00E+05,
,I-133,,7.00E-01,,6.00E-01,,1.00E+01,,1.00E+06,
,I-134,,3.00E-01,,3.00E-01,,1.00E+01,,1.00E+05,
,I-135,(a),6.00E-01,,6.00E-01,,1.00E+01,,1.00E+06,
,In-111,,3.00E+00,,3.00E+00,,1.00E+02,,1.00E+06,
,In-113m,,4.00E+00,,2.00E+00,,1.00E+02,,1.00E+06,
,In-114m,(a),1.00E+01,,5.00E-01,,1.00E+02,,1.00E+06,
,In-115m,,7.00E+00,,1.00E+00,,1.00E+02,,1.00E+06,
,Ir-189,(a),1.00E+01,,1.00E+01,,1.00E+02,,1.00E+07,
,Ir-190,,7.00E-01,,7.00E-01,,1.00E+01,,1.00E+06,
,Ir-192,,1.00E+00,(c),6.00E-01,,1.00E+01,,1.00E+04,
,Ir-193m,,4.00E+01,,4.00E+00,,1.00E+04,,1.00E+07,
,Ir-194,,3.00E-01,,3.00E-01,,1.00E+02,,1.00E+05,
,K-40,,9.00E-01,,9.00E-01,,1.00E+02,,1.00E+06,
,K-42,,2.00E-01,,2.00E-01,,1.00E+02,,1.00E+06,
,K-43,,7.00E-01,,6.00E-01,,1.00E+01,,1.00E+06,
,Kr-79,,4.00E+00,,2.00E+00,,1.00E+03,,1.00E+05,
,Kr-81,,4.00E+01,,4.00E+01,,1.00E+04,,1.00E+07,
,Kr-85,,1.00E+01,,1.00E+01,,1.00E+05,,1.00E+04,
,Kr-85m,,8.00E+00,,3.00E+00,,1.00E+03,,1.00E+10,
,Kr-87,,2.00E-01,,2.00E-01,,1.00E+02,,1.00E+09,
,La-137,,3.00E+01,,6.00E+00,,1.00E+03,,1.00E+07,
,La-140,,4.00E-01,,4.00E-01,,1.00E+01,,1.00E+05,
,Lu-172,,6.00E-01,,6.00E-01,,1.00E+01,,1.00E+06,
,Lu-173,,8.00E+00,,8.00E+00,,1.00E+02,,1.00E+07,
,Lu-174,,9.00E+00,,9.00E+00,,1.00E+02,,1.00E+07,
,Lu-174m,,2.00E+01,,1.00E+01,,1.00E+02,,1.00E+07,
,Lu-177,,3.00E+01,,7.00E-01,,1.00E+03,,1.00E+07,
,Mg-28,(a),3.00E-01,,3.00E-01,,1.00E+01,,1.00E+05,
,Mn-52,,3.00E-01,,3.00E-01,,1.00E+01,,1.00E+05,
,Mn-53,,Unlimited,,Unlimited,,1.00E+04,,1.00E+09,
,Mn-54,,1.00E+00,,1.00E+00,,1.00E+01,,1.00E+06,
,Mn-56,,3.00E-01,,3.00E-01,,1.00E+01,,1.00E+05,
,Mo-93,,4.00E+01,,2.00E+01,,1.00E+03,,1.00E+08,
,Mo-99,(a),1.00E+00,,6.00E-01,,1.00E+02,,1.00E+06,
,N-13,,9.00E-01,,6.00E-01,,1.00E+02,,1.00E+09,
,Na-22,,5.00E-01,,5.00E-01,,1.00E+01,,1.00E+06,
,Na-24,,2.00E-01,,2.00E-01,,1.00E+01,,1.00E+05,
,Nb-93m,,4.00E+01,,3.00E+01,,1.00E+04,,1.00E+07,
,Nb-94,,7.00E-01,,7.00E-01,,1.00E+01,,1.00E+06,
,Nb-95,,1.00E+00,,1.00E+00,,1.00E+01,,1.00E+06,
,Nb-97,,9.00E-01,,6.00E-01,,1.00E+01,,1.00E+06,
,Nd-147,,6.00E+00,,6.00E-01,,1.00E+02,,1.00E+06,
,Nd-149,,6.00E-01,,5.00E-01,,1.00E+02,,1.00E+06,
,Ni-57,,6.00E-01,,6.00E-01,,1.00E+01,,1.00E+06,
,Ni-59,,Unlimited,,Unlimited,,1.00E+04,,1.00E+08,
,Ni-63,,4.00E+01,,3.00E+01,,1.00E+05,,1.00E+08,
,Ni-65,,4.00E-01,,4.00E-01,,1.00E+01,,1.00E+06,
,Np-235,,4.00E+01,,4.00E+01,,1.00E+03,,1.00E+07,
,Np-236,(short lived),2.00E+01,,2.00E+00,,1.00E+03,,1.00E+07,
,Np-236,(long lived),9.00E+00,,2.00E-02,,1.00E+02,,1.00E+05,
,Np-237,,2.00E+01,,2.00E-03,,1.00E+00,(b),1.00E+03,(b)
,Np-239,,7.00E+00,,4.00E-01,,1.00E+02,,1.00E+07,
,Os-185,,1.00E+00,,1.00E+00,,1.00E+01,,1.00E+06,
,Os-191,,1.00E+01,,2.00E+00,,1.00E+02,,1.00E+07,
,Os-191m,,4.00E+01,,3.00E+01,,1.00E+03,,1.00E+07,
,Os-193,,2.00E+00,,6.00E-01,,1.00E+02,,1.00E+06,
,Os-194,(a),3.00E-01,,3.00E-01,,1.00E+02,,1.00E+05,
,P-32,,5.00E-01,,5.00E-01,,1.00E+03,,1.00E+05,
,P-33,,4.00E+01,,1.00E+00,,1.00E+05,,1.00E+08,
,Pa-230,(a),2.00E+00,,7.00E-02,,1.00E+01,,1.00E+06,
,Pa-231,,4.00E+00,,4.00E-04,,1.00E+00,,1.00E+03,
,Pa-233,,5.00E+00,,7.00E-01,,1.00E+02,,1.00E+07,
,Pb-201,,1.00E+00,,1.00E+00,,1.00E+01,,1.00E+06,
,Pb-202,,4.00E+01,,2.00E+01,,1.00E+03,,1.00E+06,
,Pb-203,,4.00E+00,,3.00E+00,,1.00E+02,,1.00E+06,
,Pb-205,,Unlimited,,Unlimited,,1.00E+04,,1.00E+07,
,Pb-210,(a),1.00E+00,,5.00E-02,,1.00E+01,(b),1.00E+04,(b)
,Pb-212,(a),7.00E-01,,2.00E-01,,1.00E+01,(b),1.00E+05,(b)
,Pd-103,(a),4.00E+01,,4.00E+01,,1.00E+03,,1.00E+08,
,Pd-107,,Unlimited,,Unlimited,,1.00E+05,,1.00E+08,
,Pd-109,,2.00E+00,,5.00E-01,,1.00E+03,,1.00E+06,
,Pm-143,,3.00E+00,,3.00E+00,,1.00E+02,,1.00E+06,
,Pm-144,,7.00E-01,,7.00E-01,,1.00E+01,,1.00E+06,
,Pm-145,,3.00E+01,,1.00E+01,,1.00E+03,,1.00E+07,
,Pm-147,,4.00E+01,,2.00E+00,,1.00E+04,,1.00E+07,
,Pm-148m,(a),8.00E-01,,7.00E-01,,1.00E+01,,1.00E+06,
,Pm-149,,2.00E+00,,6.00E-01,,1.00E+03,,1.00E+06,
,Pm-151,,2.00E+00,,6.00E-01,,1.00E+02,,1.00E+06,
,Po-210,,4.00E+01,,2.00E-02,,1.00E+01,,1.00E+04,
,Pr-142,,4.00E-01,,4.00E-01,,1.00E+02,,1.00E+05,
,Pr-143,,3.00E+00,,6.00E-01,,1.00E+04,,1.00E+06,
,Pt-188,(a),1.00E+00,,8.00E-01,,1.00E+01,,1.00E+06,
,Pt-191,,4.00E+00,,3.00E+00,,1.00E+02,,1.00E+06,
,Pt-193,,4.00E+01,,4.00E+01,,1.00E+04,,1.00E+07,
,Pt-193m,,4.00E+01,,5.00E-01,,1.00E+03,,1.00E+07,
,Pt-195m,,1.00E+01,,5.00E-01,,1.00E+02,,1.00E+06,
,Pt-197,,2.00E+01,,6.00E-01,,1.00E+03,,1.00E+06,
,Pt-197m,,1.00E+01,,6.00E-01,,1.00E+02,,1.00E+06,
,Pu-236,,3.00E+01,,3.00E-03,,1.00E+01,,1.00E+04,
,Pu-237,,2.00E+01,,2.00E+01,,1.00E+03,,1.00E+07,
,Pu-238,,1.00E+01,,1.00E-03,,1.00E+00,,1.00E+04,
,Pu-239,,1.00E+01,,1.00E-03,,1.00E+00,,1.00E+04,
,Pu-240,,1.00E+01,,1.00E-03,,1.00E+00,,1.00E+03,
,Pu-241,(a),4.00E+01,,6.00E-02,,1.00E+02,,1.00E+05,
,Pu-242,,1.00E+01,,1.00E-03,,1.00E+00,,1.00E+04,
,Pu-244,(a),4.00E-01,,1.00E-03,,1.00E+00,,1.00E+04,
,Ra-223,(a),4.00E-01,,7.00E-03,,1.00E+02,(b),1.00E+05,(b)
,Ra-224,(a),4.00E-01,,2.00E-02,,1.00E+01,(b),1.00E+05,(b)
,Ra-225,(a),2.00E-01,,4.00E-03,,1.00E+02,,1.00E+05,
,Ra-226,(a),2.00E-01,,3.00E-03,,1.00E+01,(b),1.00E+04,(b)
,Ra-228,(a),6.00E-01,,2.00E-02,,1.00E+01,(b),1.00E+05,(b)
,Rb-81,,2.00E+00,,8.00E-01,,1.00E+01,,1.00E+06,
,Rb-83,(a),2.00E+00,,2.00E+00,,1.00E+02,,1.00E+06,
,Rb-84,,1.00E+00,,1.00E+00,,1.00E+01,,1.00E+06,
,Rb-86,,5.00E-01,,5.00E-01,,1.00E+02,,1.00E+05,
,Rb-87,,Unlimited,,Unlimited,,1.00E+04,,1.00E+07,
,Rb,(natural),Unlimited,,Unlimited,,1.00E+04,,1.00E+07,
,Re-184,,1.00E+00,,1.00E+00,,1.00E+01,,1.00E+06,
,Re-184m,,3.00E+00,,1.00E+00,,1.00E+02,,1.00E+06,
,Re-186,,2.00E+00,,6.00E-01,,1.00E+03,,1.00E+06,
,Re-187,,Unlimited,,Unlimited,,1.00E+06,,1.00E+09,
,Re-188,,4.00E-01,,4.00E-01,,1.00E+02,,1.00E+05,
,Re-189,(a),3.00E+00,,6.00E-01,,1.00E+02,,1.00E+06,
,Re,(natural),Unlimited,,Unlimited,,1.00E+06,,1.00E+09,
,Rh-99,,2.00E+00,,2.00E+00,,1.00E+01,,1.00E+06,
